tehsil,spi,ai,spi_z,ai_z,gap_index,gap_rank,priority_strict,priority_relaxed,priority_lisa_gap,spi_cluster,gap_cluster
SEHNSA,-0.2940476834774017,0.8237859606742859,-0.19400655720304175,0.5173262034270267,-0.7113327606300685,46,False,False,False,Not Significant,LL
MARTUNG,-0.2275180518627166,0.8942193388938904,0.021082482625248568,0.8029226479322406,-0.781840165306992,47,False,False,False,Not Significant,Not Significant
GAGRA,-0.3982023000717163,0.7883821725845337,-0.530736461356155,0.3737693237765359,-0.904505785132691,48,False,False,False,Not Significant,Not Significant
ABBASPUR,-0.2220367044210434,0.9290246367454528,0.03880357516072125,0.9440527423224084,-0.9052491671616871,49,False,False,False,Not Significant,Not Significant
DHEERKOT,-0.3650264143943786,0.8414749503135681,-0.42347945086916755,0.5890523178853904,-1.0125317687545579,50,False,False,False,Not Significant,Not Significant
PALLANDARI,-0.3609914779663086,0.8505352139472961,-0.41043457776498216,0.6257902842513482,-1.0362248620163304,51,False,False,False,Not Significant,LL
DAGGAR,-0.4535040557384491,0.8153602480888367,-0.7095259907506141,0.48316124332353216,-1.1926872340741461,52,False,False,False,LL,LL
BABUZAI,-0.4201058745384216,0.857529878616333,-0.6015503030460764,0.6541525666021205,-1.2557028696481969,53,False,False,False,Not Significant,LL
BHIMBER,-0.4752587974071502,0.8319352865219116,-0.7798586588214919,0.5503704580975848,-1.3302291169190767,54,False,False,False,LL,LL
TEMERGARA,-0.4134753942489624,0.8944546580314636,-0.5801140857629284,0.8038768306040615,-1.38399091636699,55,False,False,False,LL,LL
BARIKOT,-0.5476511716842651,0.81004399061203,-1.0139018347154334,0.46160464229388526,-1.4755064770093187,56,False,False,False,LL,LL
CHARBAGH,-0.4683366119861603,0.8814412355422974,-0.7574793643691012,0.7511094170893765,-1.5085887814584777,57,False,False,False,Not Significant,Not Significant
SAMAHNI,-0.3921881020069122,0.9446962475776672,-0.5112926728411687,1.0075986980395242,-1.5188913708806928,58,False,False,False,LL,LL
NAKIAL,-0.3797376155853271,0.9571930170059204,-0.47104048588598363,1.0582711633780837,-1.5293116492640673,59,False,False,False,Not Significant,Not Significant
RAWALAKOT,-0.4158055782318115,0.9333879351615906,-0.5876475264769403,0.9617452418938309,-1.5493927683707711,60,False,False,False,Not Significant,Not Significant
KOTLI,-0.4139888882637024,0.944545567035675,-0.5817742021938695,1.006987711769422,-1.5887619139632916,61,False,False,False,LL,LL
HAJEERA,-0.3940492868423462,0.960910975933075,-0.5173098481881628,1.0733469112302036,-1.5906567594183665,62,False,False,False,Not Significant,LL
MIRPUR,-0.4627669155597687,0.9089204668998718,-0.7394726412381828,0.8625334460347187,-1.6020060872729016,63,False,False,False,LL,LL
DUDYAL,-0.463477075099945,0.925215482711792,-0.7417685735906433,0.9286072124318173,-1.6703757860224606,64,False,False,False,Not Significant,Not Significant
LALQILLA,-0.5349633097648621,0.8900572657585144,-0.9728822172685218,0.7860460857215246,-1.7589283029900464,65,False,False,False,Not Significant,LL
SAMARBAGH(BARWA),-0.5196811556816101,0.9060667753219604,-0.923475302357105,0.8509621684818395,-1.7744374708389445,66,False,False,False,LL,LL
KABAL,-0.5955164432525635,0.8660436272621155,-1.1686493517672665,0.688674499300924,-1.8573238510681904,67,False,False,False,LL,LL
SWAT RANIZAI,-0.601654052734375,0.8628435730934143,-1.188492127057675,0.6756987750646731,-1.8641909021223482,68,False,False,False,LL,LL
BARANG,-0.5773922204971313,0.9100061058998108,-1.1100540826294847,0.8669355441057788,-1.9769896267352634,69,False,False,False,LL,LL
BAR CHAMARKAND,-0.6157772541046143,0.9068084359169006,-1.2341521697829954,0.8539694873738017,-2.088121657156797,70,False,False,False,LL,LL
UTMAN KHEL,-0.6065471768379211,0.9189379811286926,-1.2043115046740707,0.9031529153665941,-2.1074644200406647,71,False,False,False,LL,LL
ADENZAI,-0.655140221118927,0.9168636798858644,-1.3614118971317994,0.89474194496081,-2.2561538420926093,72,False,False,False,LL,LL
MUNDA,-0.6588289141654968,0.9305599331855774,-1.3733373719368165,0.9502781316995015,-2.3236155036363177,73,False,False,False,LL,LL
SALARZAI,-0.6729782819747925,0.940928280353546,-1.4190820102643638,0.9923201742852614,-2.411402184549625,74,False,False,False,LL,LL
BARNALA,-0.6738541722297668,0.9482070803642272,-1.4219137468810417,1.0218345814578602,-2.443748328338902,75,False,False,False,Not Significant,Not Significant
NAWAGAI,-0.7279031276702881,0.9082799553871156,-1.59665299685545,0.8599362710115716,-2.4565892678670216,76,False,False,False,LL,LL
UPPER MOMAND,-0.7587194442749023,0.8997355699539185,-1.6962815651890226,0.8252901108828498,-2.5215716760718725,77,False,False,False,LL,LL
AMBAR UTMAN KHEL,-0.7725338935852051,0.8985021710395813,-1.7409434183482055,0.8202888692344229,-2.5612322875826283,78,False,False,False,LL,LL
MAMUND,-0.7675642967224121,0.9451161026954652,-1.7248768057485369,1.009301145542135,-2.734177951290672,79,False,False,False,LL,LL
SAFI,-0.8245413899421692,0.910617172718048,-1.9090826697434227,0.8694133254511449,-2.7784959951945676,80,False,False,False,LL,LL
KHAR,-0.9116582274436952,0.9592697620391846,-2.1907297565573596,1.066692042975749,-3.2574217995331085,81,False,False,False,LL,LL
