variable,I,expected_I,z_score,p_value,sim_mean,sim_std
SPI,0.8146335687191582,-0.0125,10.731652050609249,0.001,-0.008862111085823016,0.07677365475578206
AI,0.8892569652323905,-0.0125,11.839158211511064,0.001,-0.011292025175139426,0.07610338828116477
Gap index,0.8854643032924471,-0.0125,12.256189809489253,0.001,-0.017010624006200972,0.07367109761481144
