metric,value
n,81.0
intercept,0.4007767783103108
ai_coefficient,-0.9118249025493139
ai_p_value,1.5363790267829526e-14
r_squared,0.5285434162247777
adj_r_squared,0.5225756113668635
f_statistic,88.56580079421495
f_p_value,1.5363790267829384e-14
residual_sigma,0.21505356883191937
pearson_r,-0.7270099148050032
spearman_rho,-0.7757904245709124
residual_moran_i,0.6361020171463352
residual_moran_p,0.001
breusch_pagan_lm,4.648719340763925
breusch_pagan_p,0.03107672415007968
jarque_bera_stat,3.3565867166090477
jarque_bera_p,0.18669232121117402
residual_skew,0.49810553393635204
residual_kurtosis,3.045909918062805
