,count,mean,std,min,25%,50%,75%,max
spi,81.0,-0.2340391177603584,0.31123924546433196,-0.9116582274436952,-0.463477075099945,-0.2220367044210434,0.049782671034336,0.2931330502033233
ai,81.0,0.6962037275970718,0.2481551191422521,0.1788792759180069,0.4732645452022552,0.8122048377990723,0.9060667753219604,0.960910975933075
gap_index,81.0,1.7133071367672168e-16,1.870078896057632,-3.2574217995331085,-1.5887619139632916,-0.36780419415312654,1.6575431418313487,3.517025222234583
area_km2,81.0,1557.9206662711847,2132.9059852019304,16.66556358839703,286.5323435705348,572.5306834574859,1972.763489668719,10801.975096734663
