component,pearson_r,ols_slope,ols_slope_p,R2
tri_mean,0.85187754155655,0.019149091855256064,6.754315298318493e-24,0.7256953458084316
forest_pct,,-0.23403911776035838,1.9764682289617598e-09,1.1102230246251565e-16
water_pct,,-0.22688004031608044,1.7229582799353034e-08,0.0
snow_pct,0.8044550568272538,2.2982247149173305,1.4903332322247943e-19,0.6471479384549398
