variable,I,E[I],z,p
SPI,0.8146335687191582,-0.0125,10.77727024036391,0.001
AI,0.8892569652323905,-0.0125,11.60648911002384,0.001
Gap,0.8854643032924471,-0.0125,11.733870735766512,0.001
